lat,long,gauge_id,q_mean,q_std,q_5,q_95,runoff_coefficient,p_mean,p_std,q_7_10,q_seasonal_amplitude,cvq_autumn,cvq_spring,cvq_summer,cvq_winter,q_annual_sens_slope,q_annual_p.value
48.98534,9.743195,DE111300,1.177,1.776,0.26,3.99,0.436,2.7,5.324,0.242,1.627,1.534,1.3,1.253,1.281,0.001,0.708
48.137867,8.565618,DE111310,0.933,1.353,0.12,3.229,0.372,2.506,4.811,0.113,1.419,1.547,1.139,1.324,1.205,0,0.865
48.550247,8.471429,DE111330,1.542,2.097,0.34,4.79,0.402,3.84,7.579,0.339,2.356,1.39,1,0.574,1.214,0,0.892
48.782143,8.521699,DE111340,1.848,1.765,0.51,4.578,0.499,3.706,7.135,0.5,1.993,1.031,0.799,0.768,0.872,0.002,0.126
48.736302,8.474797,DE111350,2.355,2.897,0.57,6.204,0.617,3.813,7.289,0.581,2.502,1.233,1.105,1.04,1.161,0.001,0.415
48.55978,9.042629,DE111360,0.372,0.609,0.09,1.03,0.182,2.04,4.244,0.086,0.353,1.355,1.335,2.473,1.326,0,0.61
48.341711,8.786832,DE111370,0.766,1.158,0.14,2.44,0.298,2.313,4.67,0.126,0.864,1.445,1.274,1.632,1.366,0.001,0.639
48.637209,9.323664,DE111380,0.566,0.692,0.17,1.55,0.273,2.076,4.335,0.154,0.462,1.202,1.098,1.398,1.1,0.001,0.262
48.490543,9.065963,DE111390,1.07,1.307,0.17,3.13,0.457,2.338,4.811,0.14,1.041,1.335,0.972,1.752,0.934,-0.001,0.734
48.946638,8.398504,DE111400,1.275,1.215,0.41,3.4,0.399,3.195,6.256,0.4,1.398,0.975,0.82,0.868,0.822,0.003,0.077
48.598739,8.380152,DE111410,3.143,4.023,0.78,9.23,0.701,4.486,8.491,0.756,3.807,1.296,1.061,0.857,1.168,-0.002,0.208
48.606788,8.363673,DE111420,3.767,5.57,0.67,12.148,0.744,5.065,9.481,0.645,4.58,1.517,1.316,1.238,1.305,-0.001,0.734
47.699479,7.845421,DE111430,3.07,3.417,0.5,9.28,0.651,4.717,8.498,0.465,3.751,1.183,0.841,0.943,1.004,0,0.919
48.516512,8.338585,DE111440,3.85,5.758,0.87,11.96,0.773,4.98,9.352,0.863,4.455,1.551,1.291,1.221,1.391,-0.002,0.126
47.903092,9.676142,DE111450,0.913,0.728,0.29,2.26,0.37,2.47,5.076,0.271,0.457,0.699,0.805,0.932,0.685,0,0.76
47.730252,9.24346,DE111460,0.934,0.778,0.36,2.24,0.355,2.626,5.355,0.326,0.556,0.74,0.816,0.932,0.743,-0.001,0.415
47.756546,9.455037,DE111470,1.383,1.58,0.43,4.11,0.51,2.713,5.644,0.404,1.086,1.043,1.056,1.181,1.078,0.001,0.518
47.848343,8.450182,DE111480,1.434,1.616,0.33,4.23,0.435,3.299,6.127,0.294,1.899,1.024,0.849,0.79,1.073,0.001,0.563
48.490077,8.145409,DE111490,2.572,3.472,0.46,8.1,0.579,4.443,8.083,0.439,3.125,1.335,1.142,1.152,1.209,0,0.973
47.718169,7.794653,DE111500,2.64,2.674,0.58,7.68,0.568,4.646,8.616,0.55,2.982,1.111,0.797,0.895,0.876,0.002,0.541
48.311395,8.373314,DE111510,1.793,2.435,0.38,5.63,0.525,3.416,6.575,0.358,2.646,1.425,1.04,0.767,1.161,0.003,0.025
48.97009,9.281725,DE111550,0.72,0.669,0.26,1.609,0.318,2.263,4.663,0.279,0.593,0.832,0.821,0.835,0.947,-0.001,0.518
48.923423,8.952372,DE111560,0.959,0.877,0.32,2.419,0.376,2.551,4.804,0.301,1.025,0.807,0.759,0.642,0.875,0,0.708
49.029884,10.100431,DE111570,0.856,1.285,0.14,2.97,0.372,2.302,4.645,0.129,1.262,1.462,1.416,1.549,1.188,-0.001,0.234
48.917577,9.067519,DE111580,0.4,0.311,0.17,0.86,0.201,1.989,4.215,0.171,0.175,0.728,0.648,0.922,0.75,0,0.683
48.536796,8.724347,DE111590,0.851,0.988,0.17,2.61,0.328,2.593,5.105,0.164,1.285,1.206,0.809,0.754,1.02,-0.003,0.002
49.258275,9.287114,DE111600,0.974,1.26,0.2,3.04,0.403,2.416,4.624,0.185,1.289,1.364,1.109,1.072,1.074,0,0.838
49.268547,9.219941,DE111610,0.825,0.989,0.19,2.33,0.371,2.224,4.311,0.181,1.137,1.294,0.95,0.842,1.023,0,1
48.201095,8.778188,DE111620,1.003,1.467,0.07,3.457,0.385,2.59,5.03,0.031,1.103,1.437,1.311,2.091,1.134,0.003,0.096
49.26574,9.757663,DE111630,1.026,1.45,0.19,3.38,0.41,2.501,4.811,0.172,1.519,1.484,1.237,1.257,1.138,0,0.812
48.339244,8.834216,DE111640,0.901,1.266,0.11,2.85,0.375,2.402,4.783,0.091,0.938,1.447,1.187,2.063,1.082,0.001,0.563
48.371262,8.578457,DE111650,1.362,2.031,0.19,4.39,0.424,3.212,6.129,0.179,2.169,1.676,1.136,0.892,1.227,-0.002,0.053
48.514268,8.583349,DE111660,0.992,1.504,0.15,3.48,0.329,3.02,5.983,0.136,1.748,1.6,1.137,0.859,1.242,-0.003,0.019
48.709264,9.355228,DE111670,0.894,0.837,0.35,2.25,0.459,1.949,4.199,0.329,0.507,0.998,0.875,1.066,0.799,0.002,0.292
49.230247,9.343464,DE111680,0.8,0.883,0.25,2.1,0.356,2.248,4.611,0.243,0.887,1.017,0.965,0.756,1.058,0,1
