lat,long,gauge_id,q_mean,q_std,q_5,q_95,runoff_coefficient,p_mean,p_std,q_7_10,q_seasonal_amplitude,cvq_autumn,cvq_spring,cvq_summer,cvq_winter,q_annual_sens_slope,q_annual_p.value
48.792805,12.300891,DE211770,0.503,0.404,0.28,0.77,0.246,2.044,4.291,0.295,0.191,0.554,0.841,0.815,0.858,-0.002,0.025
48.810457,12.569727,DE211780,0.334,0.504,0.13,0.67,0.165,2.019,4.316,0.12,0.238,1.021,1.39,1.801,1.514,-0.001,0.174
48.820627,12.686887,DE211790,0.337,0.575,0.08,0.909,0.17,1.98,4.186,0.073,0.33,1.507,1.435,2.284,1.53,-0.003,0.005
48.853986,12.962483,DE211800,1.56,1.833,0.4,4.398,0.465,3.357,6.781,0.383,2.08,1.216,1.02,0.999,1.082,-0.001,0.395
48.545903,12.136655,DE211940,0.776,4.026,0.34,1.13,0.362,2.146,4.543,0.347,0.885,0.68,5.504,6.062,0.8,-0.001,0.395
47.728862,11.303751,DE212130,1.819,2.093,0.33,4.92,0.506,3.598,7.21,0.323,1.419,0.94,1.153,1.225,0.794,0,0.838
47.644388,10.96588,DE212290,3.217,4.141,0.77,8.938,0.74,4.349,8.311,0.639,2.589,1.192,1.113,1.359,1.045,0,0.786
47.692781,11.121969,DE212300,2.23,4,0.3,7.16,0.602,3.702,7.293,0.251,1.109,1.597,1.665,2.079,1.455,-0.004,0.041
47.767774,11.123176,DE212310,1.882,1.431,0.56,4.52,0.535,3.518,6.934,0.455,0.799,0.684,0.746,0.836,0.651,-0.001,0.683
47.923616,11.11098,DE212320,1.275,2.194,0.23,4.01,0.445,2.868,5.99,0.206,0.57,1.614,1.83,2.039,1.279,0.001,0.174
47.998224,11.179245,DE212330,0.773,1.018,0.12,2.329,0.274,2.824,6.159,0.112,0.434,1.225,1.254,1.606,0.942,-0.002,0.174
47.982284,11.002847,DE212340,0.696,1.684,0.06,2.52,0.252,2.764,5.912,0.05,0.511,2.178,2.45,3,1.836,0.002,0.221
48.003076,11.015137,DE212350,0.739,1.278,0.11,2.779,0.269,2.751,5.862,0.09,0.465,1.635,1.7,2.103,1.383,0,0.61
47.987797,11.005929,DE212370,0.665,1.7,0.07,2.089,0.247,2.697,5.759,0.064,0.499,2.529,2.409,3.133,1.932,0.003,0.126
48.251907,11.364729,DE212380,0.794,0.582,0.38,1.63,0.321,2.473,5.25,0.353,0.304,0.722,0.71,0.828,0.648,0,0.838
48.029195,11.363098,DE212390,1.333,0.441,0.69,2.11,0.418,3.193,6.347,0.667,0.33,0.364,0.277,0.329,0.307,0.001,0.541
48.167213,11.458859,DE212400,0.777,0.297,0.36,1.31,0.246,3.155,6.235,0.333,0.18,0.423,0.321,0.368,0.385,0,0.838
48.00027,11.346717,DE212430,0.933,0.962,0.27,2.41,0.308,3.027,6.25,0.22,0.438,0.859,1.039,1.211,0.826,0.003,0.009
47.997796,11.360966,DE212440,0.531,0.49,0.13,1.34,0.167,3.182,6.364,0.131,0.26,0.852,0.871,1.065,0.778,0.001,0.634
48.426574,11.526106,DE212460,0.71,0.665,0.34,1.439,0.3,2.365,4.994,0.321,0.35,0.735,0.98,1.089,0.852,0.001,0.163
48.253012,11.898098,DE212470,1.431,0.475,1.03,2.109,0.536,2.672,5.526,1.004,0.189,0.27,0.305,0.418,0.306,-0.003,0.012
48.412988,11.982423,DE212500,0.922,1.001,0.35,2.329,0.374,2.461,5.183,0.33,0.609,0.932,0.932,1.468,0.937,-0.003,0.032
48.553574,12.11102,DE212530,0.49,0.632,0.21,0.889,0.227,2.154,4.559,0.198,0.264,0.797,1.311,1.532,1.242,-0.003,0
48.736863,12.744815,DE212540,0.311,0.41,0.06,0.85,0.156,2,4.224,0.075,0.183,1.333,1.097,1.301,1.379,-0.004,0.001
48.798329,13.092854,DE212550,1.524,2.019,0.4,4.449,0.5,3.049,6.106,0.405,2.238,1.306,1.177,1.058,1.212,0,0.838
48.527435,12.472287,DE212560,0.644,1.087,0.27,1.43,0.281,2.287,4.711,0.288,0.434,1.154,1.508,2.341,1.469,-0.002,0.045
48.606257,12.693818,DE212570,0.644,0.756,0.24,1.53,0.284,2.265,4.618,0.268,0.47,0.911,1.132,1.431,1.078,-0.002,0.038
48.610848,13.145678,DE212580,0.645,0.7,0.26,1.54,0.289,2.233,4.429,0.269,0.47,0.895,1.057,1.233,1.014,-0.003,0.001
48.453227,12.365622,DE212590,0.726,0.941,0.29,1.68,0.314,2.315,4.79,0.259,0.484,0.976,1.246,1.64,1.186,-0.001,0.292
48.49583,12.344022,DE212600,0.547,0.994,0.16,1.439,0.241,2.269,4.762,0.153,0.425,1.401,1.755,2.387,1.525,-0.002,0.03
48.52689,12.731197,DE212610,0.531,1.015,0.17,1.46,0.24,2.213,4.725,0.174,0.516,1.658,1.864,2.337,1.679,-0.001,0.027
48.585329,13.196716,DE212640,0.711,1.065,0.27,1.77,0.313,2.27,4.734,0.264,0.532,1.186,1.579,1.443,1.476,-0.003,0.012
48.628432,13.373187,DE212650,1.203,1.469,0.32,3.649,0.423,2.842,5.631,0.287,1.754,1.186,1.087,1.138,1.058,-0.001,0.196
48.938042,13.412485,DE212680,2.572,2.871,0.68,8.22,0.731,3.519,6.646,0.631,3.997,1.209,0.863,1.007,1.107,0,0.786
48.836798,13.353756,DE212690,1.947,2.056,0.49,5.59,0.595,3.274,6.186,0.518,2.293,1.156,0.855,0.966,1.053,-0.005,0.002
48.818911,13.353818,DE212710,1.479,1.716,0.4,4.1,0.489,3.025,5.933,0.399,2.144,1.141,1.013,1.039,1.086,-0.002,0.135
48.727266,13.523143,DE212760,1.778,1.88,0.47,5.039,0.57,3.118,6.08,0.435,2.513,1.08,0.899,0.992,0.987,-0.002,0.262
47.65843,12.154047,DE212870,3.066,4.612,0.61,9.65,0.719,4.262,7.781,0.522,2.684,1.53,1.065,1.898,1.381,0.001,0.563
47.746271,12.181643,DE212890,2.275,2.95,0.66,5.75,0.509,4.469,8.802,0.567,1.335,1.002,0.923,1.683,0.894,0.001,0.234
47.850123,12.187084,DE212900,1.549,0.841,0.64,2.95,0.431,3.596,7.123,0.62,0.533,0.451,0.457,0.693,0.376,-0.001,0.415
47.69195,11.773906,DE212980,2.697,3.894,0.31,9.148,0.493,5.47,9.924,0.296,3.459,1.472,0.939,1.637,1.599,-0.003,0.053
47.789172,11.829165,DE213010,1.989,1.676,0.47,5,0.436,4.564,8.41,0.375,1.079,0.811,0.716,0.952,0.786,-0.002,0.072
47.92246,11.990708,DE213050,2.077,1.386,1.2,3.898,0.689,3.014,6.058,1.214,0.413,0.546,0.614,0.838,0.603,0,0.812
47.860628,12.010619,DE213060,1.697,1.339,0.85,3.72,0.569,2.982,5.938,0.807,0.402,0.648,0.755,0.987,0.704,0.001,0.377
47.796931,11.972697,DE213110,2.438,2.629,0.79,6.469,0.651,3.743,7.183,0.726,1.161,0.932,1.096,1.208,1.004,-0.003,0.045
47.980137,12.212146,DE213130,1.32,1.152,0.56,2.929,0.428,3.086,6.203,0.489,0.408,0.684,0.807,1.17,0.688,0,0.76
47.993041,12.010485,DE213140,1.31,1.02,0.55,2.66,0.455,2.878,5.872,0.525,0.345,0.648,0.736,0.996,0.634,-0.001,0.324
48.023875,12.147895,DE213150,1.357,1.266,0.55,3.049,0.47,2.887,5.829,0.511,0.472,0.751,0.849,1.233,0.778,0,0.865
48.280932,12.612614,DE213170,0.855,0.992,0.25,2.1,0.353,2.42,4.915,0.249,0.585,0.968,1.018,1.514,1.052,-0.005,0
48.229718,12.137828,DE213180,1.177,2.165,0.21,3.75,0.445,2.647,5.34,0.179,1.085,1.675,1.558,2.645,1.508,-0.008,0
47.810378,12.572944,DE213310,3.672,3.741,1.321,8.655,0.784,4.684,8.742,1.172,1.943,0.792,0.692,1.315,1.059,0.002,0.324
47.829092,12.649441,DE213360,2.913,3.213,0.87,7.589,0.605,4.814,9.026,0.696,1.739,0.973,0.798,1.436,1.037,0.003,0.032
47.765191,12.91339,DE213450,2.018,2.787,0.26,5.94,0.441,4.572,8.75,0.241,1.53,1.284,0.984,1.955,1.293,0.001,0.61
47.852795,12.83059,DE213460,2.22,2.658,0.61,5.84,0.532,4.17,8.127,0.557,1.596,1.043,0.975,1.629,1.081,0.003,0.005
47.847169,12.945973,DE213480,1.799,1.866,0.49,4.97,0.468,3.845,7.485,0.432,1.214,0.961,0.922,1.282,0.948,0.001,0.163
47.843281,12.785329,DE213490,2.874,3.968,0.5,8.24,0.655,4.39,8.579,0.416,2.089,1.214,1.012,1.896,1.253,0.007,0.014
47.825907,12.908085,DE213500,1.816,2.613,0.54,4.92,0.475,3.825,7.51,0.456,0.768,1.175,1.271,1.93,1.269,-0.002,0.023
47.917508,12.827904,DE213510,1.674,0.989,0.63,3.46,0.509,3.288,6.542,0.598,0.946,0.533,0.541,0.726,0.491,-0.001,0.292
48.267672,13.028886,DE213520,0.816,1.657,0.34,1.772,0.302,2.693,5.827,0.321,0.383,0.895,1.131,3.621,1.178,0.001,0.475
48.369147,12.526901,DE213530,0.595,0.948,0.2,1.52,0.263,2.26,4.73,0.189,0.438,1.171,1.379,2.113,1.515,-0.001,0.11
48.411894,12.832304,DE213540,0.609,1.017,0.21,1.52,0.271,2.249,4.646,0.217,0.521,1.198,1.535,2.187,1.537,-0.003,0.005
48.420287,12.904641,DE213550,0.629,0.96,0.18,1.8,0.279,2.252,4.633,0.191,0.577,1.227,1.413,1.946,1.36,-0.003,0.027
48.435849,13.072649,DE213560,0.656,0.939,0.23,1.739,0.285,2.299,4.678,0.215,0.565,1.08,1.327,1.881,1.277,-0.002,0.005
48.428213,13.333899,DE213570,0.676,0.88,0.22,1.719,0.294,2.299,4.641,0.233,0.548,1.017,1.222,1.655,1.163,-0.004,0
48.432682,12.570436,DE213580,0.463,1.086,0.1,1.4,0.206,2.25,4.732,0.118,0.569,1.805,2.204,3.093,2.047,-0.003,0.003
48.420755,12.728457,DE213590,0.609,1.199,0.15,1.65,0.273,2.23,4.793,0.156,0.617,1.662,1.756,2.673,1.734,-0.001,0.277
48.40524,12.756613,DE213600,0.672,1.162,0.17,1.76,0.302,2.227,4.783,0.168,0.6,1.417,1.593,2.22,1.573,-0.001,0.234
48.396663,13.005288,DE213620,0.691,1.462,0.24,1.75,0.269,2.568,5.406,0.235,0.532,1.495,1.677,3.476,1.611,-0.001,0.153
48.572085,13.744741,DE213640,1.944,1.69,0.76,4.95,0.615,3.161,6.272,0.712,1.837,0.841,0.772,0.886,0.842,0.003,0.096
47.64909,9.970366,DE213670,3.155,3.661,0.74,9.66,0.617,5.115,9.491,0.654,2.193,1.065,1.071,1.292,1.163,0,0.786
47.645555,10.084903,DE213680,3.381,4.791,0.5,11.8,0.662,5.08,9.341,0.4,2.833,1.357,1.241,1.617,1.439,-0.001,0.262
50.099442,11.372711,DE213690,0.996,1.088,0.23,2.85,0.423,2.356,4.525,0.22,1.289,1.15,0.851,1.005,0.935,0,0.946
50.164879,11.151336,DE213700,1.062,1.278,0.21,3.29,0.435,2.443,4.493,0.203,1.577,1.28,0.954,1.026,0.981,0,0.919
49.951166,10.873488,DE213710,0.874,0.99,0.19,2.6,0.388,2.253,4.127,0.182,1.275,1.219,0.876,0.943,0.922,0,0.892
49.929701,10.75521,DE213720,0.772,0.609,0.31,1.86,0.363,2.122,3.869,0.289,0.74,0.759,0.629,0.589,0.748,0.001,0.153
50.031176,10.220758,DE213730,0.76,0.619,0.28,1.88,0.36,2.108,3.841,0.272,0.734,0.775,0.672,0.622,0.758,0.001,0.308
49.796102,9.925796,DE213740,0.762,0.59,0.29,1.81,0.368,2.069,3.778,0.299,0.667,0.71,0.66,0.589,0.747,0.001,0.734
50.038467,11.674671,DE213770,1.64,1.675,0.41,4.51,0.528,3.107,6.026,0.42,1.972,1.04,0.866,0.894,0.907,0,1
50.09528,11.524107,DE213780,1.104,1.212,0.26,3.04,0.437,2.53,4.939,0.274,1.366,1.214,0.91,1.095,0.907,0,0.865
50.065039,11.55185,DE213800,0.564,0.621,0.16,1.49,0.27,2.092,4.317,0.161,0.623,1.07,0.875,1.298,0.972,-0.001,0.708
50.127173,11.525133,DE213820,1.175,1.355,0.27,3.459,0.468,2.51,4.878,0.274,1.616,1.218,0.913,0.839,0.97,0.002,0.248
50.118113,11.506445,DE213830,1.147,1.326,0.24,3.46,0.458,2.507,4.874,0.256,1.358,1.181,0.985,0.811,1.028,0.002,0.208
50.119936,11.615099,DE213840,1.275,1.192,0.32,3.39,0.51,2.499,4.981,0.289,1.678,0.98,0.711,0.676,0.815,0.001,0.734
50.180309,11.524075,DE213850,1.361,1.716,0.23,4.41,0.519,2.624,5.054,0.224,2.044,1.304,1.075,0.962,0.996,0.002,0.308
50.132696,11.526086,DE213860,1.198,1.467,0.22,3.8,0.469,2.551,4.908,0.226,1.752,1.352,0.98,0.946,0.988,0.002,0.096
49.846452,11.623,DE213870,1.146,1.614,0.08,3.96,0.528,2.17,4.513,0.073,1.226,1.386,1.269,1.447,1.25,0.021,0
49.906647,11.620903,DE213880,0.672,1.417,0.05,2.63,0.311,2.161,4.478,0.048,1.284,2.362,1.705,2.606,1.632,0.001,0.377
49.949089,11.566148,DE213890,0.816,1.076,0.17,2.549,0.35,2.333,4.578,0.161,1.117,1.45,1.035,1.479,1.101,0.002,0.126
50.075365,11.42632,DE213900,0.829,1.147,0.2,2.52,0.372,2.226,4.381,0.175,1.171,1.342,1.025,1.531,1.235,0.001,0.395
49.897342,11.661784,DE213910,0.693,0.849,0.23,1.79,0.323,2.148,4.381,0.229,0.8,1.213,0.905,1.143,1.182,0,0.786
49.969561,11.683331,DE213920,1.362,1.447,0.28,3.93,0.464,2.939,5.632,0.245,1.785,1.103,0.915,0.968,0.885,0.002,0.096
50.090502,11.2382,DE213930,1.134,0.677,0.55,2.36,0.511,2.22,4.38,0.518,0.913,0.59,0.458,0.367,0.617,0,0.812
50.352171,11.510727,DE213940,1.419,2.15,0.18,5.028,0.506,2.805,5.325,0.163,2.375,1.504,1.271,1.385,1.209,0.001,0.659
50.317946,11.485735,DE213950,1.135,1.794,0.17,3.979,0.402,2.822,5.323,0.157,1.933,1.637,1.305,1.32,1.269,0.001,0.812
50.278169,11.430622,DE213960,1.281,1.923,0.18,4.477,0.453,2.83,5.278,0.16,2.219,1.528,1.274,1.222,1.183,0.002,0.163
50.181533,11.226533,DE213970,1.167,1.781,0.13,4.12,0.437,2.673,4.973,0.127,2.056,1.592,1.281,1.302,1.181,0.001,0.587
50.362977,11.483618,DE214000,1.579,2.539,0.11,6.09,0.556,2.838,5.408,0.099,2.981,1.691,1.322,1.656,1.211,0.004,0.012
50.268276,11.54142,DE214010,1.495,2.122,0.21,5.238,0.537,2.785,5.288,0.179,2.371,1.37,1.231,1.129,1.141,0.003,0.062
50.271035,11.461707,DE214020,1.291,1.952,0.15,4.42,0.454,2.841,5.358,0.133,2.197,1.609,1.287,1.264,1.176,0.002,0.144
50.321765,11.284641,DE214030,1.527,2.36,0.08,5.59,0.531,2.873,5.565,0.061,2.851,1.618,1.342,1.53,1.129,0.002,0.208
50.368719,11.306762,DE214040,1.814,2.999,0.06,7.238,0.603,3.009,5.944,0.035,3.551,1.712,1.435,1.687,1.208,0.003,0.045
50.292013,11.3677,DE214050,1.379,2.212,0.08,5.049,0.503,2.741,5.259,0.063,2.535,1.643,1.45,1.502,1.18,0.001,0.277
50.325426,11.360671,DE214060,1.463,2.35,0.08,5.26,0.531,2.756,5.314,0.068,2.774,1.544,1.368,1.521,1.225,0.002,0.096
50.277316,11.159383,DE214070,1.657,2.31,0.22,5.499,0.565,2.932,5.546,0.188,2.81,1.486,1.119,1.03,1.089,-0.002,0.221
50.347262,11.02805,DE214080,1.155,1.831,0.07,5.02,0.403,2.866,5.42,0.073,2.361,1.836,1.327,1.999,1.064,0.002,0.196
50.249175,10.962087,DE214090,1.168,1.321,0.24,3.807,0.478,2.446,4.666,0.222,1.785,1.257,0.885,0.869,0.882,0,0.973
50.129402,10.871227,DE214100,0.77,0.885,0.17,2.359,0.369,2.089,3.998,0.153,1.14,1.185,0.881,0.96,0.938,0,0.838
50.296644,11.051664,DE214110,1.007,1.161,0.22,2.91,0.407,2.472,4.832,0.194,1.428,1.245,0.853,0.878,0.986,0.002,0.135
50.349641,10.963159,DE214120,0.876,1.035,0.19,2.71,0.374,2.344,4.664,0.169,1.32,1.319,0.887,0.857,0.984,0.002,0.057
50.314659,10.973172,DE214130,2.33,1.816,0.66,5.91,1.021,2.282,4.551,0.599,2.771,0.874,0.573,0.544,0.629,0.004,0.324
50.297918,10.924325,DE214140,0.599,1.152,0.04,2.12,0.293,2.046,4.127,0.037,1.122,2.221,1.465,2.069,1.469,0.003,0.038
50.177449,10.842123,DE214160,0.538,0.679,0.14,1.47,0.285,1.886,3.78,0.129,0.742,1.217,0.922,1.048,1.149,0,0.919
50.239494,10.785922,DE214170,0.504,0.705,0.16,1.3,0.277,1.819,3.739,0.147,0.65,1.15,1.03,1.28,1.369,0.001,0.518
50.14458,10.705881,DE214190,0.475,0.662,0.12,1.38,0.263,1.807,3.743,0.101,0.634,1.326,0.971,1.336,1.294,0,0.919
50.0021,10.843452,DE214200,0.497,0.651,0.13,1.54,0.266,1.866,3.842,0.119,0.69,1.219,0.923,1.049,1.201,0,0.812
50.145686,10.736127,DE214210,0.495,0.737,0.14,1.32,0.273,1.814,3.835,0.133,0.655,1.303,1.062,1.094,1.444,0,0.838
49.546095,10.973643,DE214220,0.718,0.432,0.36,1.41,0.349,2.056,4.02,0.364,0.36,0.497,0.537,0.49,0.682,0.003,0.006
49.832746,10.948965,DE214230,0.704,0.461,0.35,1.459,0.342,2.057,3.957,0.347,0.48,0.574,0.58,0.475,0.693,0.002,0.144
49.250229,11.084194,DE214240,0.724,0.445,0.24,1.32,0.376,1.926,3.961,0.281,0.214,0.533,0.63,0.437,0.746,0.006,0.001
49.436077,10.991175,DE214250,0.696,0.403,0.32,1.27,0.35,1.986,4.005,0.323,0.235,0.505,0.576,0.409,0.7,0.004,0.001
49.367373,10.492274,DE214270,0.534,0.952,0.11,1.57,0.286,1.869,4.143,0.1,0.797,1.721,1.649,2.284,1.411,0,0.683
49.30459,10.565628,DE214280,0.523,0.921,0.1,1.56,0.282,1.857,4.069,0.105,0.727,1.849,1.588,2.072,1.444,-0.001,0.587
49.195394,10.887341,DE214290,0.513,0.667,0.17,1.28,0.273,1.883,3.986,0.155,0.558,1.182,1.189,1.186,1.187,0.001,0.587
49.02987,10.954953,DE214310,0.366,0.644,0.05,1.19,0.191,1.915,4.246,0.055,0.514,1.826,1.617,1.746,1.439,-0.001,0.359
49.120565,11.003849,DE214320,0.495,0.698,0.12,1.39,0.253,1.956,4.154,0.11,0.583,1.323,1.277,1.383,1.238,0.001,0.324
49.153392,11.012897,DE214330,0.634,0.603,0.21,1.61,0.325,1.949,4.121,0.203,0.366,0.814,0.885,1.064,0.916,0.003,0.096
49.049297,10.981968,DE214340,0.533,1.186,0.03,2.01,0.254,2.045,4.292,0.031,0.826,2.486,2.003,3.172,1.691,0.001,0.359
49.247824,11.093963,DE214350,1.477,1.109,0.24,3.669,0.739,2,4.261,0.313,1.309,0.693,0.779,0.594,0.78,0.028,0
49.241205,11.053475,DE214360,0.447,0.304,0.22,0.91,0.239,1.875,4.018,0.223,0.273,0.54,0.643,0.597,0.722,0.001,0.518
49.368821,11.377605,DE214370,0.848,0.969,0.24,2.29,0.354,2.397,4.828,0.212,0.963,1.165,0.945,1.08,1.018,0.001,0.395
49.355186,11.141189,DE214380,0.831,0.809,0.29,2.12,0.359,2.315,4.638,0.289,0.831,0.916,0.793,0.873,0.926,0.001,0.659
49.39393,10.733963,DE214400,0.475,0.559,0.18,1.09,0.268,1.768,4.082,0.178,0.499,1.136,1.049,0.998,1.147,0,0.865
49.366975,10.706607,DE214420,0.462,0.546,0.15,1.13,0.251,1.842,4.104,0.143,0.494,1.123,1.02,0.926,1.155,0,0.919
49.605592,11.504951,DE214440,1.01,0.452,0.61,1.71,0.431,2.343,4.783,0.636,0.502,0.375,0.397,0.31,0.517,0.002,0.185
49.52589,11.491404,DE214450,0.946,0.464,0.58,1.58,0.389,2.429,4.869,0.591,0.489,0.369,0.407,0.292,0.599,0.002,0.196
49.506264,11.272877,DE214460,0.853,0.48,0.48,1.64,0.351,2.428,4.77,0.477,0.573,0.477,0.453,0.377,0.605,0.001,0.221
49.45582,11.052536,DE214470,0.789,0.448,0.42,1.59,0.335,2.353,4.61,0.414,0.539,0.497,0.482,0.398,0.593,0.001,0.659
49.499377,11.52586,DE214480,0.803,0.289,0.55,1.16,0.341,2.354,4.755,0.551,0.24,0.266,0.288,0.217,0.5,0,0.838
49.55823,11.343039,DE214490,0.955,0.801,0.37,2.16,0.36,2.654,5.301,0.392,0.784,0.966,0.659,0.509,0.842,0,0.786
49.481706,11.238864,DE214500,0.528,0.56,0.17,1.31,0.237,2.23,4.631,0.152,0.476,1.102,0.825,0.856,1.108,0.003,0.023
49.452486,10.607453,DE214510,0.463,0.645,0.11,1.19,0.251,1.847,4.177,0.091,0.568,1.434,1.256,1.559,1.176,0,0.812
49.493408,10.754119,DE214520,0.458,0.713,0.13,1.08,0.249,1.841,4.112,0.117,0.537,1.457,1.406,2.011,1.308,0.002,0.277
49.507639,10.902122,DE214530,0.499,1.005,0.13,1.09,0.273,1.832,4.042,0.12,0.619,2.095,1.865,2.133,1.8,0,1
49.52045,11.089503,DE214540,0.618,0.992,0.09,2.33,0.313,1.974,4.199,0.085,0.917,1.803,1.347,2.08,1.237,0.001,0.395
49.544625,10.709953,DE214550,0.485,0.718,0.15,1.12,0.255,1.901,4.265,0.15,0.494,1.219,1.489,1.443,1.329,0,0.973
49.567326,10.963839,DE214560,0.453,0.618,0.15,1.14,0.239,1.895,4.149,0.141,0.475,1.137,1.17,1.217,1.367,0.001,0.248
49.596815,11.21504,DE214570,0.785,1.12,0.12,2.519,0.326,2.41,4.935,0.118,1.246,1.568,1.103,2.154,1.086,0.003,0.032
49.601678,11.02015,DE214580,0.655,0.933,0.11,2.019,0.293,2.235,4.569,0.108,0.955,1.577,1.148,1.581,1.16,-0.001,0.518
49.93518,11.290586,DE214590,0.645,0.209,0.36,1,0.284,2.274,4.527,0.404,0.179,0.314,0.294,0.303,0.347,0,0.838
49.803157,11.258357,DE214610,0.907,0.403,0.53,1.58,0.389,2.332,4.565,0.568,0.468,0.368,0.369,0.308,0.497,-0.002,0.292
49.773048,11.401864,DE214630,0.753,0.311,0.48,1.24,0.303,2.489,4.987,0.479,0.31,0.321,0.352,0.29,0.498,0.001,0.61
49.824377,11.191395,DE214640,1.176,1.517,0.17,3.908,0.479,2.458,4.944,0.16,1.767,1.423,1.088,1.385,0.984,-0.002,0.308
49.694316,11.271629,DE214650,1.106,0.273,0.77,1.56,0.432,2.564,5.207,0.76,0.31,0.212,0.221,0.185,0.29,0.001,0.786
49.484877,10.391791,DE214660,0.422,0.673,0.06,1.27,0.242,1.745,3.898,0.051,0.637,1.821,1.326,1.554,1.344,0.001,0.475
49.573241,10.567561,DE214670,0.454,0.611,0.09,1.23,0.246,1.743,3.88,0.098,0.608,1.645,1.072,1.481,1.144,0.002,0.199
49.621324,10.671987,DE214680,0.462,0.64,0.11,1.26,0.252,1.826,3.922,0.1,0.569,1.295,1.077,1.756,1.238,0.002,0.262
49.725951,10.932382,DE214690,0.461,0.594,0.12,1.4,0.251,1.839,3.893,0.118,0.587,1.277,1.028,1.465,1.144,0,0.838
49.660416,10.465912,DE214710,0.535,0.961,0.12,1.62,0.28,1.908,4.129,0.103,0.636,1.769,1.72,1.751,1.54,0.003,0.021
49.799974,10.926394,DE214720,0.54,0.605,0.14,1.54,0.285,1.897,3.967,0.131,0.659,1.069,0.876,1.231,0.981,-0.001,0.541
49.855268,10.690232,DE214730,0.615,1.069,0.1,2.18,0.292,2.111,4.394,0.091,0.945,1.978,1.323,1.91,1.442,0.001,0.377
49.822508,10.841721,DE214740,0.585,0.796,0.12,2,0.29,2.021,4.175,0.108,0.843,1.434,1.057,1.508,1.127,0.001,0.708
50.076106,10.518548,DE214750,0.491,0.784,0.1,1.44,0.268,1.832,3.84,0.09,0.819,1.602,0.995,1.225,1.444,0,0.892
49.908002,10.396873,DE214760,0.595,0.791,0.18,1.65,0.299,1.989,4.315,0.17,0.602,1.31,1.182,1.387,1.191,0,0.865
49.908466,10.298746,DE214770,0.496,0.891,0.12,1.24,0.271,1.827,3.929,0.093,0.513,1.191,1.683,2.481,1.643,0.001,0.341
49.816051,10.292497,DE214780,0.492,0.848,0.07,1.46,0.259,1.897,4.037,0.067,0.635,1.701,1.449,2.426,1.406,0,0.892
49.791985,10.275218,DE214790,0.444,0.58,0.15,1.04,0.249,1.783,3.897,0.144,0.407,1.032,1.221,1.36,1.218,0.002,0.089
49.662441,10.154855,DE214800,0.311,0.349,0.07,0.93,0.176,1.765,3.924,0.071,0.32,1.163,0.845,1.096,1.121,0.002,0.308
49.799373,9.948383,DE214810,0.256,0.227,0.06,0.63,0.151,1.697,3.777,0.074,0.236,0.85,0.608,1.099,0.847,-0.001,0.541
49.975475,9.962765,DE214830,0.329,0.331,0.11,0.83,0.19,1.729,3.598,0.119,0.365,0.721,0.67,0.684,1.111,0,0.973
50.027285,9.74923,DE214840,0.362,0.298,0.14,0.85,0.204,1.772,3.643,0.14,0.391,0.568,0.563,0.463,0.896,0,0.61
50.296059,10.468865,DE214850,0.363,0.469,0.1,0.929,0.213,1.702,3.557,0.095,0.49,1.164,0.866,1.048,1.261,-0.001,0.563
50.310269,10.19301,DE214860,0.636,0.741,0.15,1.95,0.328,1.941,3.742,0.139,0.997,1.204,0.789,0.787,0.996,-0.001,0.455
50.180624,10.073052,DE214880,0.64,0.69,0.17,1.84,0.329,1.944,3.746,0.157,0.962,1.122,0.695,0.64,0.947,-0.001,0.518
50.087464,9.735328,DE214890,0.643,0.732,0.17,1.95,0.327,1.968,3.76,0.16,1.021,1.161,0.748,0.637,0.987,-0.001,0.415
50.356255,10.423393,DE214900,0.569,0.812,0.11,1.71,0.313,1.802,3.668,0.105,0.878,1.415,0.952,1.08,1.318,0.001,0.659
50.477968,10.182932,DE214910,1.07,1.65,0.16,3.709,0.442,2.419,4.695,0.143,1.901,1.718,1.157,1.169,1.237,-0.001,0.61
50.370784,10.258947,DE214920,0.671,0.823,0.14,1.98,0.332,2.022,3.953,0.133,1.092,1.279,0.806,0.761,1.063,-0.001,0.277
50.474198,10.251996,DE214930,0.593,0.989,0.11,1.87,0.284,2.091,4.137,0.12,1.039,1.599,1.086,1.15,1.515,-0.002,0.262
50.399247,10.044945,DE214950,1.43,1.986,0.13,5.21,0.517,2.768,5.409,0.116,2.567,1.602,1.047,1.256,1.042,0.004,0.012
50.34931,10.155993,DE214960,1.106,1.422,0.18,3.82,0.445,2.482,4.9,0.163,1.97,1.485,0.875,0.832,1.01,-0.001,0.434
50.213635,10.237506,DE214970,0.394,0.595,0.08,1.1,0.22,1.793,3.735,0.075,0.635,1.287,0.86,1.361,1.439,0,0.892
50.196606,9.959613,DE214980,0.814,1.124,0.16,2.97,0.371,2.196,4.319,0.14,1.465,1.626,0.926,0.808,1.093,-0.002,0.196
50.219931,9.966859,DE214990,0.82,1.465,0.13,2.58,0.381,2.15,4.261,0.132,1.63,2.126,1.042,0.955,1.468,-0.003,0.118
50.307772,9.788956,DE215010,1.488,1.723,0.27,4.68,0.555,2.682,5.118,0.258,2.391,1.354,0.851,0.743,0.901,0.001,0.455
50.20071,9.616534,DE215020,1.07,1.204,0.21,3.17,0.428,2.498,4.719,0.202,1.704,1.248,0.753,0.729,0.926,0,0.708
