catch_no,catch_id,well_id,match_type,dK,K_code_well,K_desc_well,K_index_w,K_code_cat,K_desc_cat,K_index_c,inside_priority,is_natural,nearest_dtw_to_natural,dominant_K_code,dominant_K_share
602,DE811800,MV_23460002,inside,0,3,Medium,3,3,Medium,3,1,0,Inf,3,0.930746194408273
478,DE710670,H_7449,inside,0,9,Medium to moderately low,3.5,9,Medium to moderately low,3.5,1,0,Inf,9,0.9307191807466967
730,DE911860,NS_800000668,inside,0,3,Medium,3,3,Medium,3,1,0,Inf,3,0.9306946116203217
1219,DEF12330,SH_3767,inside,0,3,Medium,3,3,Medium,3,1,0,Inf,3,0.9300745927287006
1162,DEE11210,SA_31320017,inside,0,3,Medium,3,3,Medium,3,1,0,Inf,3,0.9287848816460359
576,DE811260,MV_21460011,inside,0,3,Medium,3,3,Medium,3,1,0,Inf,3,0.9285316492005158
690,DE911190,NS_1300000055,inside,0,3,Medium,3,3,Medium,3,1,0,Inf,3,0.9285212981757673
770,DE912360,NS_500000191,inside,0,3,Medium,3,3,Medium,3,1,0,Inf,3,0.9278186993005179
383,DE411410,BR_37404700,inside,0,3,Medium,3,3,Medium,3,1,0,Inf,3,0.9265656575579737
409,DE412260,BR_32471945,inside,0,3,Medium,3,3,Medium,3,1,0,Inf,3,0.9263737280860664
479,DE710680,H_7908,inside,0,9,Medium to moderately low,3.5,9,Medium to moderately low,3.5,1,0,Inf,9,0.9240961389174245
767,DE912320,NS_500000076,inside,0,3,Medium,3,3,Medium,3,1,0,Inf,3,0.9232196454127958
580,DE811370,MV_18441002,inside,0,3,Medium,3,3,Medium,3,1,0,Inf,3,0.9227103769596451
961,DEB10490,H_9040,inside,0,10,Low to extremely low,6,10,Low to extremely low,6,1,0,Inf,10,0.9224714575582701
1085,DED12680,S_52460001,inside,0,6,Very low,6,6,Very low,6,1,0,Inf,6,0.9213646061942904
773,DE912390,NS_1300000361,inside,0,3,Medium,3,3,Medium,3,1,0,Inf,3,0.9210119064228006
622,DE812280,MV_26300133,inside,0,3,Medium,3,3,Medium,3,1,0,Inf,3,0.9204764176059473
537,DE810440,MV_20390027,inside,0,3,Medium,3,3,Medium,3,1,0,Inf,3,0.9204474803151654
1029,DED10260,S_52436001,inside,0,6,Very low,6,6,Very low,6,1,0,Inf,6,0.9203344086516115
548,DE810660,MV_18400006,inside,0,3,Medium,3,3,Medium,3,1,0,Inf,3,0.9196605537017067
549,DE810670,MV_18400007,inside,0,3,Medium,3,3,Medium,3,1,0,Inf,3,0.9196447335770105
1251,DEF13450,SH_4350,inside,0,3,Medium,3,3,Medium,3,1,0,Inf,3,0.9186233401024781
403,DE412090,BR_27370001,inside,0,3,Medium,3,3,Medium,3,1,0,Inf,3,0.91384926127006
547,DE810650,MV_17391001,inside,0,3,Medium,3,3,Medium,3,1,0,Inf,3,0.9136632792102704
407,DE412230,BR_40525029,inside,0,3,Medium,3,3,Medium,3,1,0,Inf,3,0.911914507457575
1164,DEE11230,SA_31320045,inside,0,3,Medium,3,3,Medium,3,1,0,Inf,3,0.9118811057683023
645,DE910430,NS_1200007873,inside,0,3,Medium,3,3,Medium,3,1,1,0,3,0.9114114091953012
538,DE810450,MV_21390012,inside,0,3,Medium,3,3,Medium,3,1,0,Inf,3,0.9112249881116472
402,DE412080,MV_26360001,inside,0,3,Medium,3,3,Medium,3,1,0,Inf,3,0.9077760131154574
476,DE710650,H_9058,inside,0,10,Low to extremely low,6,10,Low to extremely low,6,1,0,Inf,10,0.9057671612570611
973,DEB10610,RP_2722112500,inside,0,10,Low to extremely low,6,10,Low to extremely low,6,1,0,Inf,10,0.90429894167322
664,DE910770,NRW_100160025,inside,0,6,Very low,6,6,Very low,6,1,0,Inf,6,0.9039106448418497
1163,DEE11220,SA_32320061,inside,0,3,Medium,3,3,Medium,3,1,0,Inf,3,0.9032903774420437
374,DE411280,BR_38413485,inside,0,3,Medium,3,3,Medium,3,1,0,Inf,3,0.9029950986973811
960,DEB10480,H_9061,inside,0,10,Low to extremely low,6,10,Low to extremely low,6,1,0,Inf,10,0.9024977136366297
248,DE213930,BY_5171,inside,0,9,Medium to moderately low,3.5,9,Medium to moderately low,3.5,1,0,Inf,9,0.9024700380608954
761,DE912250,NS_500000089,inside,0,3,Medium,3,3,Medium,3,1,0,Inf,3,0.9023999274362983
838,DEA10710,NRW_59620973,inside,0,10,Low to extremely low,6,10,Low to extremely low,6,1,0,Inf,10,0.901840602605433
388,DE411760,BR_27390101,inside,0,3,Medium,3,3,Medium,3,1,0,Inf,3,0.9014658505935732
569,DE811110,MV_21400016,inside,0,3,Medium,3,3,Medium,3,1,0,Inf,3,0.900782098564384
763,DE912280,NS_500000083,inside,0,3,Medium,3,3,Medium,3,1,0,Inf,3,0.8995733128648881
686,DE911120,NS_1300000255,inside,0,3,Medium,3,3,Medium,3,1,0,0.19787604544309895,3,0.8991913755114499
791,DE912810,NS_900000965,inside,0,3,Medium,3,3,Medium,3,1,0,Inf,3,0.8918110989182608
1026,DED10050,S_52433273,inside,0,6,Very low,6,6,Very low,6,1,0,Inf,6,0.8904217454947876
343,DE410020,BR_26491068,inside,0,3,Medium,3,3,Medium,3,1,0,Inf,3,0.8901285721195195
774,DE912400,NS_500000309,inside,0,3,Medium,3,3,Medium,3,1,1,0,3,0.8876967325381052
1141,DEE10920,SA_39380041,inside,0,3,Medium,3,3,Medium,3,1,0,Inf,3,0.8861807507829277
775,DE912420,NS_1300000004,inside,0,3,Medium,3,3,Medium,3,1,0,Inf,3,0.8861550600593427
220,DE213530,BY_21128,inside,0,5,Low,5,5,Low,5,1,0,Inf,5,0.8856866260259494
970,DEB10580,RP_2716160200,inside,0,10,Low to extremely low,6,10,Low to extremely low,6,1,0,Inf,10,0.8833649941309615
607,DE812010,MV_26360028,inside,0,3,Medium,3,3,Medium,3,1,0,Inf,3,0.8815508478384266
890,DEA11720,NRW_110250011,inside,0,5,Low,5,5,Low,5,1,0,Inf,5,0.8802255717626895
582,DE811420,MV_19410001,inside,0,3,Medium,3,3,Medium,3,1,0,Inf,3,0.8774910597563069
480,DE710690,H_12038,inside,0,3,Medium,3,3,Medium,3,1,0,0.2197114901847067,3,0.8755037067643217
421,DE710080,H_8484,inside,0,9,Medium to moderately low,3.5,9,Medium to moderately low,3.5,1,0,Inf,9,0.8744943412280451
321,DE214930,BY_22137,inside,0,12,Moderately low to low,4.5,12,Moderately low to low,4.5,1,0,Inf,12,0.8742604755140948
524,DE810230,MV_18380011,inside,0,3,Medium,3,3,Medium,3,1,0,Inf,3,0.8733339463126869
1185,DEF10830,SH_2470,inside,0,3,Medium,3,3,Medium,3,1,0,Inf,3,0.8699445111576608
1149,DEE11050,SA_34363308,inside,0,3,Medium,3,3,Medium,3,1,0,Inf,3,0.8699100298368565
504,DE710940,H_8473,inside,0,9,Medium to moderately low,3.5,9,Medium to moderately low,3.5,1,0,Inf,9,0.8684364759247049
1153,DEE11100,SA_34340005,inside,0,3,Medium,3,3,Medium,3,1,0,Inf,3,0.8670260951641875
756,DE912180,NS_600001270,inside,0,3,Medium,3,3,Medium,3,1,0,Inf,3,0.8668803555634493
433,DE710210,H_6563,inside,0,10,Low to extremely low,6,10,Low to extremely low,6,1,0,Inf,10,0.865938803698072
1054,DED11480,S_47430006,inside,0,5,Low,5,5,Low,5,1,0,Inf,5,0.8657630981517203
285,DE214480,BY_2152,inside,0,9,Medium to moderately low,3.5,9,Medium to moderately low,3.5,1,0,Inf,9,0.8655169610969754
726,DE911770,NS_1300000385,inside,0,3,Medium,3,3,Medium,3,1,1,0,3,0.8633531751909119
1016,DEC10290,SAAR_670810010,inside,0,9,Medium to moderately low,3.5,9,Medium to moderately low,3.5,1,0,Inf,9,0.8618373789279913
369,DE411200,BR_38451190,inside,0,3,Medium,3,3,Medium,3,1,0,Inf,3,0.861765133682858
1158,DEE11150,SA_34350022,inside,0,3,Medium,3,3,Medium,3,1,0,Inf,3,0.8606800489391871
139,DE112380,BW_2156@358-2,inside,0,5,Low,5,5,Low,5,1,0,Inf,5,0.8599626958287795
394,DE411940,BR_29370009,inside,0,3,Medium,3,3,Medium,3,1,0,Inf,3,0.8579711763789691
754,DE912160,NS_900000551,inside,0,3,Medium,3,3,Medium,3,1,0,Inf,3,0.8578096323632423
943,DEB10210,RP_2541120000,inside,0,10,Low to extremely low,6,10,Low to extremely low,6,1,0,Inf,10,0.8573168811005912
1325,DEG10520,TH_109011,inside,0,6,Very low,6,10,Low to extremely low,6,1,0,Inf,10,0.8566127923902154
541,DE810550,MV_21401010,inside,0,3,Medium,3,3,Medium,3,1,0,Inf,3,0.8564454383959188
1136,DEE10850,SA_37385570,inside,0,3,Medium,3,3,Medium,3,1,0,Inf,3,0.8563138030013078
629,DE910230,NS_1100003367,inside,0,3,Medium,3,3,Medium,3,1,0,Inf,3,0.8557297432711772
1140,DEE10910,SA_39380043,inside,0,3,Medium,3,3,Medium,3,1,0,Inf,3,0.8522469359393577
725,DE911750,NS_1300000009,inside,0,3,Medium,3,3,Medium,3,1,0,0.04281657574185962,3,0.8516238879579379
1257,DEF13620,SH_3923,inside,0,3,Medium,3,3,Medium,3,1,0,Inf,3,0.8513182892445671
692,DE911210,NS_1300000001,inside,0,3,Medium,3,3,Medium,3,1,0,Inf,3,0.8509968028563267
1104,DEE10340,SA_49390004,inside,0,5,Low,5,5,Low,5,1,0,Inf,5,0.8481429224697414
917,DEA12080,NRW_40061206,inside,0,6,Very low,6,6,Very low,6,1,0,Inf,6,0.8466040195033262
1287,DEG10000,TH_100525,inside,0,12,Moderately low to low,4.5,12,Moderately low to low,4.5,1,0,Inf,12,0.8464084611135028
1074,DED12180,S_54403690,inside,0,6,Very low,6,6,Very low,6,1,0,Inf,6,0.8463108570593543
908,DEA11950,NRW_100749010,inside,0,12,Moderately low to low,4.5,12,Moderately low to low,4.5,1,0,Inf,12,0.8456299401619112
650,DE910570,NS_900001308,inside,0,3,Medium,3,3,Medium,3,1,0,Inf,3,0.8444740853967013
812,DEA10300,NRW_30302055,inside,0,5,Low,5,5,Low,5,1,0,Inf,5,0.8434326525843288
291,DE214560,BY_17150,inside,0,12,Moderately low to low,4.5,12,Moderately low to low,4.5,1,0,Inf,12,0.8431596746340501
892,DEA11740,NRW_110040223,inside,0,9,Medium to moderately low,3.5,9,Medium to moderately low,3.5,1,0,Inf,9,0.8427677491549493
385,DE411720,BR_29410640,inside,0,3,Medium,3,3,Medium,3,1,0,Inf,3,0.8421312371024241
949,DEB10310,RP_2549101000,inside,0,10,Low to extremely low,6,10,Low to extremely low,6,1,0,Inf,10,0.8417886523424468
878,DEA11440,NRW_10000057,inside,0,2,High,2,2,High,2,1,0,Inf,2,0.8381766713437799
482,DE710710,H_8683,inside,0,10,Low to extremely low,6,10,Low to extremely low,6,1,0,Inf,10,0.8377620190778775
1240,DEF13090,SH_2084,inside,0,3,Medium,3,3,Medium,3,1,0,Inf,3,0.8367807782066198
554,DE810770,MV_21401002,inside,0,3,Medium,3,3,Medium,3,1,0,Inf,3,0.8366450109381632
366,DE411150,BR_38461267,inside,0,9,Medium to moderately low,3.5,9,Medium to moderately low,3.5,1,0,Inf,9,0.8351860982913171
671,DE910880,NS_700000732,inside,0,3,Medium,3,3,Medium,3,1,1,0,3,0.8345886940594183
801,DEA10160,RP_2723100500,inside,0,10,Low to extremely low,6,10,Low to extremely low,6,1,0,Inf,10,0.8343834901707793
619,DE812200,MV_24340021,inside,0,3,Medium,3,3,Medium,3,1,0,Inf,3,0.8339194663159432
1198,DEF11320,SH_2107,inside,0,3,Medium,3,3,Medium,3,1,0,Inf,3,0.8324060290750397
797,DEA10120,RP_2723101600,inside,0,10,Low to extremely low,6,10,Low to extremely low,6,1,0,Inf,10,0.8318943306937021
880,DEA11490,NRW_10200071,inside,0,2,High,2,2,High,2,1,0,Inf,2,0.828790006741866
1315,DEG10390,TH_116615,inside,0,5,Low,5,5,Low,5,1,0,Inf,5,0.8254709301138748
984,DEB10790,RP_2375145000,inside,0,12,Moderately low to low,4.5,12,Moderately low to low,4.5,1,0,Inf,12,0.8254695726251344
776,DE912440,NS_1300000007,inside,0,3,Medium,3,3,Medium,3,1,0,Inf,3,0.825383643835851
1078,DED12430,S_51420814,inside,0,4,Moderately low,4,4,Moderately low,4,1,0,Inf,4,0.8252599539978828
646,DE910460,NS_1200000240,inside,0,9,Medium to moderately low,3.5,9,Medium to moderately low,3.5,1,0,Inf,9,0.8215727175014663
335,DE215100,BY_3141,inside,0,12,Moderately low to low,4.5,12,Moderately low to low,4.5,1,0,Inf,12,0.820888399251388
1114,DEE10440,SA_43340004,inside,0,10,Low to extremely low,6,10,Low to extremely low,6,1,0,Inf,10,0.8191192665466381
685,DE911110,NS_1300000042,inside,0,3,Medium,3,3,Medium,3,1,0,Inf,3,0.8186062561510273
344,DE410030,MV_24480020,inside,0,3,Medium,3,3,Medium,3,1,0,Inf,3,0.8170264408084261
11,DE110130,BW_2008@720-0,inside,0,2,High,2,2,High,2,1,0,Inf,2,0.81693804299713
198,DE211770,BY_15203,inside,0,4,Moderately low,4,4,Moderately low,4,1,0,Inf,4,0.8162014667024156
129,DE112140,BW_2028@713-7,inside,0,9,Medium to moderately low,3.5,9,Medium to moderately low,3.5,1,0,Inf,9,0.8160935606356321
643,DE910380,NS_1200000290,inside,0,9,Medium to moderately low,3.5,9,Medium to moderately low,3.5,1,0,Inf,9,0.8139187386234291
1159,DEE11160,SA_34350029,inside,0,3,Medium,3,3,Medium,3,1,0,Inf,3,0.8121171201092531
956,DEB10420,NRW_10308635,inside,0,10,Low to extremely low,6,10,Low to extremely low,6,1,0,Inf,10,0.8120020037181301
134,DE112310,BW_0001@614-8,inside,0,9,Medium to moderately low,3.5,9,Medium to moderately low,3.5,1,0,Inf,9,0.810824326230704
757,DE912190,NS_600001416,inside,0,3,Medium,3,3,Medium,3,1,0,Inf,3,0.8107076086646069
162,DE210580,BY_8272,inside,0,12,Moderately low to low,4.5,12,Moderately low to low,4.5,1,0,Inf,12,0.8101235090992749
1255,DEF13580,SH_3367,inside,0,3,Medium,3,3,Medium,3,1,0,Inf,3,0.8094283358822242
983,DEB10750,RP_2549105000,inside,0,10,Low to extremely low,6,10,Low to extremely low,6,1,0,Inf,10,0.8061830265549437
743,DE911990,NS_600001536,inside,0,3,Medium,3,3,Medium,3,1,0,Inf,3,0.80410834776589
295,DE214600,BY_5155,inside,0,9,Medium to moderately low,3.5,9,Medium to moderately low,3.5,1,0,Inf,9,0.8038244109012138
753,DE912150,NS_900000493,inside,0,3,Medium,3,3,Medium,3,1,0,Inf,3,0.8019087328023096
495,DE710840,H_8560,inside,0,12,Moderately low to low,4.5,12,Moderately low to low,4.5,1,0,Inf,12,0.8011838859919878
887,DEA11690,NRW_20104297,inside,0,9,Medium to moderately low,3.5,9,Medium to moderately low,3.5,1,0,Inf,9,0.800616602706471
140,DE112400,BW_0100@616-7,inside,0,9,Medium to moderately low,3.5,9,Medium to moderately low,3.5,1,0,Inf,9,0.7994684927581079
1328,DEG10560,TH_102081,inside,0,5,Low,5,5,Low,5,1,0,Inf,5,0.7987677979345713
45,DE110650,BW_0101@714-1,inside,0,9,Medium to moderately low,3.5,9,Medium to moderately low,3.5,1,0,Inf,9,0.7959726905893174
297,DE214630,BY_6162,inside,0,9,Medium to moderately low,3.5,9,Medium to moderately low,3.5,1,0,Inf,9,0.792746329611947
674,DE910920,NS_700000515,inside,0,10,Low to extremely low,6,10,Low to extremely low,6,1,0,Inf,10,0.7891517925438701
351,DE410260,BR_26471092,inside,0,3,Medium,3,3,Medium,3,1,0,Inf,3,0.7888837925380661
191,DE211460,BY_2156,inside,0,12,Moderately low to low,4.5,12,Moderately low to low,4.5,1,0,Inf,12,0.788041131384364
296,DE214610,BY_6161,inside,0,9,Medium to moderately low,3.5,9,Medium to moderately low,3.5,1,0,Inf,9,0.7846809426322777
145,DE112500,BW_0034@670-4,inside,0,2,High,2,2,High,2,1,0,Inf,2,0.7842041536946096
1053,DED11460,S_53393668,inside,0,6,Very low,6,6,Very low,6,1,0,Inf,6,0.7835490157641097
196,DE211740,BY_20016,inside,0,12,Moderately low to low,4.5,12,Moderately low to low,4.5,1,0,Inf,12,0.7834463412823367
1150,DEE11060,SA_33340002,inside,0,3,Medium,3,3,Medium,3,1,0,Inf,3,0.781414199369931
995,DEB10940,RP_2628140500,inside,0,10,Low to extremely low,6,10,Low to extremely low,6,1,0,0.09249213271528212,10,0.7799127420694876
470,DE710590,H_7452,inside,0,9,Medium to moderately low,3.5,9,Medium to moderately low,3.5,1,0,Inf,9,0.7791470424174373
468,DE710570,H_6855,inside,0,12,Moderately low to low,4.5,12,Moderately low to low,4.5,1,0,Inf,12,0.7771238984764942
1101,DEE10270,SA_47350198,inside,0,12,Moderately low to low,4.5,12,Moderately low to low,4.5,1,0,Inf,12,0.7767406494883553
330,DE215030,BY_22013,inside,0,5,Low,5,5,Low,5,1,0,Inf,5,0.776170940353868
46,DE110660,BW_0027@517-7,inside,0,9,Medium to moderately low,3.5,9,Medium to moderately low,3.5,1,0,Inf,9,0.7759330665499563
381,DE411390,BR_37394610,inside,0,3,Medium,3,3,Medium,3,1,0,Inf,3,0.7739782800407445
64,DE111000,BW_2060@614-7,inside,0,9,Medium to moderately low,3.5,9,Medium to moderately low,3.5,1,0,Inf,9,0.7737920725066926
1076,DED12340,S_48540439,inside,0,5,Low,5,5,Low,5,1,0,Inf,5,0.77278248126514
180,DE211100,BY_3145,inside,0,12,Moderately low to low,4.5,12,Moderately low to low,4.5,1,0,Inf,12,0.7718884689919469
813,DEA10310,NRW_36460722,inside,0,10,Low to extremely low,6,10,Low to extremely low,6,1,0,Inf,10,0.7718154941717418
250,DE214030,TH_30578,inside,0,5,Low,5,5,Low,5,1,0,Inf,5,0.7709785595190874
165,DE210880,BY_13141,inside,0,2,High,2,2,High,2,1,0,Inf,2,0.7709751432930736
425,DE710120,H_14564,inside,0,10,Low to extremely low,6,10,Low to extremely low,6,1,0,Inf,10,0.7700174563240707
982,DEB10740,RP_2549120900,inside,0,10,Low to extremely low,6,10,Low to extremely low,6,1,0,Inf,10,0.7699700436699567
324,DE214960,BY_22130,inside,0,5,Low,5,5,Low,5,1,0,Inf,5,0.76861718055184
630,DE910240,NS_1100000167,inside,0,3,Medium,3,3,Medium,3,1,0,Inf,3,0.7685060288792945
391,DE411810,BR_28400205,inside,0,3,Medium,3,3,Medium,3,1,0,0.1108697217364696,3,0.7682869121642083
703,DE911350,NS_700000549,inside,0,10,Low to extremely low,6,10,Low to extremely low,6,1,0,Inf,10,0.7677161724268278
382,DE411400,BR_37404800,inside,0,3,Medium,3,3,Medium,3,1,0,Inf,3,0.7676878717428334
268,DE214290,BY_3120,inside,0,12,Moderately low to low,4.5,12,Moderately low to low,4.5,1,0,Inf,12,0.7647551389884691
389,DE411770,BR_27400050,inside,0,3,Medium,3,3,Medium,3,1,0,Inf,3,0.7637591741500093
806,DEA10230,NRW_70277412,inside,0,10,Low to extremely low,6,10,Low to extremely low,6,1,0,Inf,10,0.7617360258337795
278,DE214410,BY_17175,inside,0,12,Moderately low to low,4.5,12,Moderately low to low,4.5,1,0,Inf,12,0.7590092206822182
443,DE710310,H_8788,inside,0,10,Low to extremely low,6,10,Low to extremely low,6,1,0,Inf,10,0.7589291335906635
933,DEB10090,RP_2548112500,inside,0,10,Low to extremely low,6,10,Low to extremely low,6,1,0,Inf,10,0.7582860008317438
89,DE111450,BW_0011@671-8,inside,0,2,High,2,2,High,2,1,0,Inf,2,0.7559152861167515
1160,DEE11170,SA_33360039,inside,0,3,Medium,3,3,Medium,3,1,0,Inf,3,0.7552977285950703
